LSOA21CD,LSOA21NM,LSOA21NMW,WD25CD,WD25NM,WD25NMW,LAD25CD,LAD25NM,LAD25NMW,ObjectId
E01014432,Bath and North East Somerset 019B,,E05012479,Odd Down,,E06000022,Bath and North East Somerset,,2401
E01014431,Bath and North East Somerset 019A,,E05012479,Odd Down,,E06000022,Bath and North East Somerset,,2402
E01014434,Bath and North East Somerset 019D,,E05012479,Odd Down,,E06000022,Bath and North East Somerset,,2403
E01014436,Bath and North East Somerset 014B,,E05012480,Oldfield Park,,E06000022,Bath and North East Somerset,,2404
E01014484,Bath and North East Somerset 012F,,E05012480,Oldfield Park,,E06000022,Bath and North East Somerset,,2405
E01014440,Bath and North East Somerset 023D,,E05012481,Paulton,,E06000022,Bath and North East Somerset,,2406
E01014439,Bath and North East Somerset 023C,,E05012481,Paulton,,E06000022,Bath and North East Somerset,,2407
E01014441,Bath and North East Somerset 023E,,E05012481,Paulton,,E06000022,Bath and North East Somerset,,2408
E01014443,Bath and North East Somerset 022C,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2409
E01014445,Bath and North East Somerset 022E,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2410
E01014444,Bath and North East Somerset 022D,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2411
E01014442,Bath and North East Somerset 022B,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2412
E01014447,Bath and North East Somerset 020E,,E05012483,Publow & Whitchurch,,E06000022,Bath and North East Somerset,,2413
E01014446,Bath and North East Somerset 020D,,E05012483,Publow & Whitchurch,,E06000022,Bath and North East Somerset,,2414
E01014450,Bath and North East Somerset 024C,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2415
E01014449,Bath and North East Somerset 024B,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2416
E01014448,Bath and North East Somerset 024A,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2417
E01014451,Bath and North East Somerset 024D,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2418
